Company_Brand,Sector,Stage,HeadQuarter,BIO,Year,Amount
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,20425.32740598342
Pooltoo,Transport Services,Seed,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,2018,0.0
Finzy,Financial Services,Seed,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,2018,15619.36801634026
Fitternity,Health Care,Seed,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,24029.796948215782
Keito,Artificial intelligence,Seed,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,2018,0.0
Tolet for Students,Hospitality,Seed,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,60074.49237053947
Chai Kings,"Food and Beverage, Tea",Seed,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,2018,240297.96948215787
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,2018,480595.93896431575
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,2018,240297.96948215787
ONGO Framework,Technology,Angel,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,2018,12014.898474107891
Notesgen,Education,Seed,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,150186.23092634865
Arogya MedTech,Health Care,Seed,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,180223.4771116184
Propshop24,E-Commerce,Seed,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,6007.4492370539465
myUpchar,Health Care,Series A,"New Delhi, Delhi, India",To bring health issues to people in their language.,2018,60074.49237053947
MissMalini Entertainment,—,Seed,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,1249549.4413072208
Rooter,Sports,Seed,"India, Asia",Rooter is a mobile-based platform,2018,540670.4313348552
ZestMoney,Technology,Series A,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,2018,160999.63955304577
alphaics Corporation,Technology,Seed,"Bengaluru, Karnataka, India",Advancing AI compute,2018,0.0
MyDentistChoice,Health Care,Seed,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,6007.4492370539465
Sattviko,"Food Processing, Retail",Angel,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,0.0
Sensibull,Trading Platform,Seed,"Bangalore, Karnataka, India",Investment Management Platform,2018,300372.4618526973
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,2018,0.0
MedCords,Wellness,Seed,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,317193.3197164484
University Living,Education,Seed,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,2018,0.0
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,0.0
Enakshi,Fashion,Seed,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,2018,96119.18779286314
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,720.8939084464736
Inthree Access,"Consulting, Retail, Social",Series A,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,48059.59389643157
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,2018,108134.08626697103
Guardian.in,Health Care,Seed,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,0.0
PrestLoans,Financial Services,Seed,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,1201.4898474107893
Wimoxez,Internet Services,Seed,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,240.29796948215787
India Accelerator,"Communities, Coworking, Incubators",Angel,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,0.0
HappyEMI,Financial Services,Seed,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,12014.898474107891
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,"Azadpur, Delhi, India",Premium Personal Assistance service,2018,0.0
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,48059.59389643157
Propelld,Education,Seed,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,2018,3003.724618526973
PivotRoots,Marketing Services,Series A,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,0.0
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,1441.7878168929471
Carmesi,Health Care,Seed,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,408506.5481196684
OckyPocky,Internet Services,Angel,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,0.0
Racetrack,Artificial intelligence,Seed,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,4109095.2781448993
WHR,Health Care,Seed,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,0.0
Asteria Aerospace,Aerospace,Seed,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,2018,0.0
FabAlley,E-Commerce,Series B,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,7208939.084464736
Tranzmeo,Artificial intelligence,Pre-Seed,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,0.0
SBI Life,Insurance,Equity,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,0.0
Studds Accessories,E-Commerce,Equity,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,2018,12014898.474107891
Design Cafe,Home,Series B,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,24029796.948215783
NoPaperForms Solutions Pvt. Ltd.,Education,Series B,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,0.0
Rays Power Infra,"Energy, Solar",Undisclosed,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,2018,24029796.948215783
AuthMetrik,Internet Services,Other,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,0.0
Khidki,Artificial intelligence,Seed,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,2018,0.0
LetsTransport,Transport Services,Series B,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,2018,12014898.474107891
Next Digital Solutions,Marketing Services,Angel,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,2018,1201.4898474107893
Portea Medical,Health Care,Debt,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,3003724.6185269733
Aavas Financiers,Financial Services,Debt,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,24029796.948215783
Swiggy,Internet Services,Series H,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,0.0
Milkbasket,E-Commerce,Series A,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,0.0
Nutrisattva (Proliva),Health Care,Angel,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,2018,0.0
Toppr,Education,Series C,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,2018,0.0
Jagaran Microfin,—,Debt,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,6608194.160759341
Vivriti Capital,Financial Services,Undisclosed,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,2018,0.0
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,2018,360446.9542232368
Impact Guru,Health Care,Series A,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,0.0
MobiKwik,Financial Services,Series E,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,2883575.633785894
Stones2Milestones,Education,Seed,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,2018,0.0
Generico,Health Care,Series A,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,0.0
Adiuvo Diagnostics,Health Care,Seed,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,0.0
DataTrained,Education,Seed,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,1441787.816892947
OneAssist,Financial Services,Debt,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,2018,0.0
Satin Creditcare Network Limited (SCNL),Financial Services,Debt,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,0.0
APAC Financial Services,Financial Services,Equity,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,2018,30037246.18526973
Moglix,E-Commerce,Series C,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,0.0
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Undisclosed,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,0.0
MadGuy Labs,E-Learning,Undisclosed,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,2018,0.0
Dee Dee Labs,Health Care,Seed,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,0.0
FLEECA,—,Seed,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,2018,0.0
Shop101,E-Commerce,Series B,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,0.0
FeedMyPockets,Marketing Services,Seed,"Bangalore City, Karnataka, India",On Demand Staffing Platform,2018,528655.5328607473
Housejoy,Internet Services,Series B,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,0.0
Ambee,Health Care,Angel,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,2018,0.0
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,720893.9084464735
Ninjacart,Technology,Series B,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,30037246.18526973
Olly Smart Credit Card,Financial Services,Seed,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,2018,0.0
Zestl,Technology,Seed,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,0.0
BYJU’S,Education,Equity,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,0.0
Wakefit,"Manufacturing, Retail",Undisclosed,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,7809684.008170131
Hero Electric,Manufacturing,Undisclosed,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,19223837.558572628
Pentation Analytics,Technology,Seed,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,0.0
PerkFinance,Technology,Seed,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,0.0
Roposo,Internet Services,Series C,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,0.0
Plum Goodness,Health Care,Series A,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,0.0
Drstore,Hospital,Seed,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,2018,0.0
Wow Venue,Events,Undisclosed,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,2018,0.0
Chizel,"3D Printing, Manufacturing, Product Design",Seed,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,0.0
OTO Capital,Automotive,Seed,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,2018,600744.9237053946
Boodmo,"Automotive, Retail",Seed,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,2018,841042.8931875526
Khabri,"Apps, Audio",Seed,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,2018,0.0
MyNewCar.in,E-Commerce,Undisclosed,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,0.0
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,"Bangalore, Karnataka, India",A daily fantasy sports platform.,2018,0.0
PlanetSpark,Education,Seed,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,192238.3755857263
WheelsEMI,—,Series B,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,0.0
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Other,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,1231527.0935960591
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,"Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,0.0
Quikr,Internet Services,Debt,"Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,6608194.160759341
Tabono,Sports,Seed,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,2018,0.0
LearnApp,"Banking, E-Learning, Trading Platform",Seed,"Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,240297.96948215787
Shopkirana,E-Commerce,Undisclosed,"Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,0.0
Fric Bergen,—,Undisclosed,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,2018,0.0
Articbot,Artificial intelligence,Other,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,2018,14417.878168929472
BuildSupply,Technology,Series A,"Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,2018,3003724.6185269733
Fusion Microfinance,Financial Services,Series E,"New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,62477472.065361045
Any time Doctor,Technology,Angel,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,2018,0.0
Go Payments,Technology,Other,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,0.0
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,"Mumbai, Maharashtra, India",We build In-Destination Experiences!,2018,0.0
ION Energy,"Energy, Energy Storage, Infrastructure",Undisclosed,"Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,0.0
UnoTag,Artificial intelligence,Pre-Seed,"Bangalore, Karnataka, India",SaaS to verify counterfeit,2018,0.0
CivilCops,Technology,Pre-Seed,"Gurgaon, Haryana, India",Gov-Tech,2018,0.0
Rockmetric,Technology,Other,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,0.0
Classworks India,Education,Undisclosed,"Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education",2018,1201.4898474107893
Snapmint,Financial Services,Seed,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,0.0
artbandhu,Internet Services,Pre-Seed,"Bangalore, Karnataka, India",Ai platform for Art and Creative Community,2018,0.0
Survaider,Internet Services,Seed,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,2018,6007.4492370539465
Credy,Financial Services,Seed,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,16820.85786375105
iChamp,E-Learning,Seed,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,60074.49237053947
Qandle,Technology,Seed,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,2018,14417.878168929472
Avishkaar Box,Education,Seed,"Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,600744.9237053946
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,0.0
HyperXchange,E-Commerce,Series A,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,12014.898474107891
Deftouch,—,Seed,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,0.0
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,26432.776643037363
DronaHQ,Mobile,Angel,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,2018,6007.4492370539465
FastFox,Rental,Series A,"Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India),2018,1201489.8474107892
Colive.in,Consumer,Seed,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,21626.81725339421
Agricxlab Private Limited,Agriculture,Seed,"Thane, Maharashtra, India",Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,6007.4492370539465
Corefactors,—,Seed,"Bangalore, Karnataka, India","Corefactors is a leading campaign management, business communication and analytics company.",2018,0.0
Fincash.com,Wealth Management,Seed,"Mumbai, Maharashtra, India",A startup in the personal finance space in India .,2018,1802.234771116184
Pandorum Technologies,Biotechnology,Series A,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,2018,43253.63450678842
Shirsa Labs,Education,Seed,"Mumbai, Maharashtra, India",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,6007.4492370539465
PetSutra,Veterinary,Seed,"Gurgaon, Haryana, India",Gurugram-based Online petcare platform.,2018,114141.535504025
Awaaz De,Internet Services,Angel,"Ahmedabad, Gujarat, India",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,0.0
PinkBlue,Health Care,Seed,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,3604.469542232368
Eduvanz,Financial Services,Angel,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,6007.4492370539465
Rupeek,Financial Services,Series A,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,82061.75657815691
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,16820.85786375105
Shape (School Health and Physical Education),Education,Seed,"Pune, Maharashtra, India",Physical education start up,2018,2402.9796948215785
